PlantId,year,Month,PlantName,OperatorName,OperatorId,PlantState,CensusRegion,NERCRegion,ReportedPrimeMover,ReportedFuelTypeCode,Netgen,NetGenerationMegawatthours,cap,month_id,daysmonth,monthyear,CF,C_WW,C_FC,Gen_C,Gen_WW,Gen_FC,season,CF_C,CF_WW,CF_FC,seasonyear,align_raw,align_spd,align_spd3,CF_WW_hat,CF_WW_hat_no,CFrat,CFrat_no,CFdiff,CFdiff_no
56355,2014,May,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,37893,621597,200,5,31,65,.2546572685241699,200,0,47926,37893,10916,2,.32208332,.25465727,.14820245,22,.49390838,.49575725,.51568937,.32084286,.30676726,1.2599007,1.2046279,.066185594,.052109987
56355,2014,June,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,39128,621597,200,6,30,66,.2717222273349762,200,0,33974,39128,17204,3,.23593056,.27172223,.24135803,23,.5590502,.56646013,.58989358,.25058815,.2619293,.92222178,.96395981,-.021134079,-.0097929239
56355,2014,July,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,30755,621597,200,7,31,67,.2066868245601654,200,0,28105,30755,14427,3,.18887769,.20668682,.19587,23,.6009804,.61537033,.62400943,.20452806,.22755475,.98955542,1.100964,-.002158761,.020867929
56355,2014,August,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,17926,621597,200,8,31,68,.1204704269766808,200,0,15089,17926,9524,3,.10140457,.12047043,.12930378,23,.5352174,.53872889,.5605346,.15046269,.15174767,1.2489595,1.2596259,.02999226,.031277247
56355,2014,September,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,39718,621597,200,9,30,69,.2758194506168366,200,0,32052,39718,15674,4,.22258334,.27581945,.21989338,24,.58173996,.59443998,.62712169,.25339195,.27748469,.91868776,1.0060374,-.022427499,.0016652346
56355,2014,October,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,62014,621597,200,10,31,70,.4167607426643372,200,0,50612,62014,24907,4,.34013441,.41676074,.33815303,24,.53324789,.52704406,.50675422,.377042,.35990587,.90469652,.86357909,-.039718747,-.056854874
56355,2014,November,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,77367,621597,200,11,30,71,.5372708439826965,200,0,72446,77367,24303,4,.50309724,.53727084,.34095117,24,.57727563,.55696052,.51679188,.54314494,.52944702,1.0109332,.98543781,.0058740973,-.0078238249
56355,2014,December,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,48094,621597,200,12,31,72,.3232123553752899,200,0,44663,48094,21860,1,.30015457,.32321236,.29678506,24,.55038577,.55650645,.55588162,.39598313,.39567435,1.2251484,1.2241931,.072770774,.072461993
56355,2015,January,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,65837,653103,200,1,31,73,.4424529671669006,200,0,60362,65837,29913,1,.4056586,.44245297,.40611762,25,.60257304,.58137977,.5310232,.47851595,.46969256,1.081507,1.0615649,.036062986,.027239591
56355,2015,February,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,58772,653103,200,2,28,74,.4372916519641876,200,0,53199,58772,28227,1,.39582589,.43729165,.42428753,25,.52473956,.50418007,.46337488,.44651988,.41452524,1.0211031,.94793767,.0092282295,-.022766411
