PlantId,year,Month,PlantName,OperatorName,OperatorId,PlantState,CensusRegion,NERCRegion,ReportedPrimeMover,ReportedFuelTypeCode,Netgen,NetGenerationMegawatthours,month_id,cap,daysmonth,monthyear,CF,C_BC,C_FR,C_ST,Gen_BC,Gen_FR,Gen_ST,season,CF_BC,CF_ST,CF_FR,seasonyear,align_raw,align_spd,align_spd3,CF_BC_hat,CF_BC_hat_no,CFrat,CFrat_no,CFdiff,CFdiff_no
56679,2011,March,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,40523,347721,3,130.5,31,39,.4173670411109924,130.5,600.5,0,40523,171150,,2,.41736704,,.38308132,14,.53106391,.54047114,.58322209,.39553988,.39553988,.94770271,.94770271,-.021827161,-.021827161
56679,2011,April,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,45354,347721,4,130.5,30,40,.4826947748661041,130.5,600.5,0,45354,192220,,2,.48269477,,.44458321,14,.56402999,.57955474,.60682887,.44380945,.44380945,.91944116,.91944116,-.038885325,-.038885325
56679,2011,May,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,29181,347721,5,130.5,31,41,.3005499839782715,130.5,600.5,0,29181,125582,,2,.30054998,,.28108746,14,.52850157,.53461295,.55184257,.31657672,.31657672,1.0533247,1.0533247,.016026735,.016026735
56679,2011,June,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,23964,347721,6,130.5,30,42,.25504469871521,130.5,600.5,0,23964,83226,4032,3,.2550447,,.19249237,15,.55107516,.56181747,.58048248,.25580287,.25580287,1.0029727,1.0029727,.00075817108,.00075817108
56679,2011,July,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,12812,347721,7,130.5,31,43,.1319573223590851,130.5,600.5,0,12812,23996,7634,3,.13195732,,.053709723,15,.56118155,.55994266,.55264217,.15043554,.15043554,1.1400317,1.1400317,.018478215,.018478215
56679,2011,August,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,11943,347721,8,130.5,31,44,.1230070441961289,130.5,600.5,0,11943,23942,12557,3,.12300704,,.053588856,15,.56616861,.58143479,.5982998,.15673143,.15673143,1.2741662,1.2741662,.033724383,.033724383
56679,2011,September,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,20176,347721,9,130.5,30,45,.2147296667098999,130.5,600.5,0,20176,47338,19492,4,.21472967,,.10948747,16,.61885744,.61958325,.62255317,.20099443,.20099443,.93603474,.93603474,-.013735235,-.013735235
56679,2011,October,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,21695,347721,10,130.5,31,46,.223447859287262,130.5,600.5,0,21695,117812,25679,4,.22344786,.22948661,.26369601,16,.59201652,.63831389,.68545413,.24842326,.32254326,1.1117729,1.4434834,.024975404,.099095404
56679,2011,November,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,39528,347721,11,130.5,30,47,.4206896424293518,130.5,600.5,0,39528,202493,45770,4,.42068964,.4226692,.4683435,16,.56234246,.56515592,.58056295,.40955269,.45750964,.9735269,1.087523,-.011136949,.036819994
56679,2011,December,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,28942,347721,12,130.5,31,48,.298088401556015,130.5,600.5,0,28942,139135,32470,1,.2980884,.29017603,.31142282,16,.62544614,.63806552,.67696863,.28424996,.35625342,.95357603,1.1951268,-.01383844,.058165014
56679,2012,January,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,36240,341084,1,130.5,31,49,.3732542395591736,130.5,600.5,0,36240,192167,34341,1,.37325424,.30689669,.43012318,17,.64616734,.68561643,.76542795,.39592949,.48999742,1.0607501,1.3127712,.022675246,.11674318
56679,2012,February,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,29835,341084,2,130.5,29,50,.3284780085086823,130.5,600.5,0,29835,141856,24297,1,.32847801,.23211093,.33941063,17,.61063296,.62769431,.67879486,.33909786,.41155684,1.0323305,1.2529205,.010619849,.083078831
56679,2012,March,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,38816,341084,3,130.5,31,51,.3997857570648193,130.5,600.5,0,38816,179327,35025,2,.39978576,.31300941,.4013837,18,.5381,.56178451,.60612828,.39237541,.44670913,.98146421,1.1173713,-.0074103475,.046923369
56679,2012,April,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,37498,341084,4,130.5,30,52,.3990847170352936,130.5,600.5,0,37498,189969,35397,2,.39908472,.32687834,.43937692,18,.50770664,.52464449,.56184739,.42500836,.46829709,1.0649577,1.1734278,.02592364,.069212377
56679,2012,May,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,27333,341084,5,130.5,31,53,.2815164923667908,130.5,600.5,0,27333,105170,25301,2,.28151649,.22610852,.23539971,18,.52632886,.53340852,.55288494,.27684757,.31790078,.98341513,1.1292439,-.0046689212,.036384284
56679,2012,June,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,23680,341084,6,130.5,30,54,.2520221471786499,130.5,600.5,0,23680,85450,20437,3,.25202215,.18872821,.19763623,19,.54842234,.5614596,.58500975,.24571492,.29478103,.9749735,1.1696632,-.0063072294,.042758882
56679,2012,July,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,13152,341084,7,130.5,31,55,.1354591548442841,130.5,600.5,0,13152,51337,12778,3,.13545915,.11419369,.11490648,19,.57289249,.5906741,.63112682,.18017046,.24073958,1.3300723,1.7772117,.044711307,.10528043
56679,2012,August,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,10663,341084,8,130.5,31,56,.1098236739635468,130.5,600.5,0,10663,42152,10730,3,.10982367,.095891245,.094347902,19,.49226639,.50274837,.5339275,.17579174,.21211639,1.6006726,1.9314269,.065968066,.10229272
56679,2012,September,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,15693,341084,9,130.5,30,57,.1670178771018982,130.5,600.5,0,15693,81122,18970,4,.16701788,.175181,.18762605,20,.54838377,.55304217,.57553703,.23943394,.28613728,1.4335828,1.7132136,.072416067,.11911941
56679,2012,October,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,41731,341084,10,130.5,31,58,.4298088550567627,130.5,600.5,0,41731,99057,37197,4,.42980886,.33242002,.22171712,20,.60969782,.61372858,.62737995,.25867844,.31831297,.60184526,.74059194,-.17113042,-.11149588
56679,2012,November,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,26347,341084,11,130.5,30,59,.2804065644741058,130.5,600.5,0,26347,107103,16097,4,.28040656,.1486499,.24771719,20,.55795968,.58154702,.62604809,.27783501,.33713734,.99082917,1.2023162,-.002571553,.056730777
56679,2012,December,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,40096,341084,12,130.5,31,60,.4129691421985626,130.5,600.5,0,40096,166470,31072,1,.41296914,.27768245,.37260616,20,.57611752,.60239178,.68450779,.36274347,.43662742,.87837911,1.0572883,-.050225675,.023658276
56679,2013,January,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,40756,266976,1,130.5,31,61,.4197668135166168,130.5,600.5,0,40756,199076,32747,1,.41976681,.2926515,.44558746,21,.63917977,.65010715,.70023686,.34672698,.42453426,.82599902,1.0113574,-.07303983,.0047674477
56679,2013,February,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,22772,266976,2,130.5,28,62,.2596697807312012,130.5,600.5,0,22772,126448,20542,1,.25966978,.2032477,.31334999,21,.64646989,.67453104,.71636808,.2482702,.3301011,.95609969,1.2712342,-.011399582,.070431322
56679,2013,March,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,13894,266976,3,130.5,31,63,.1431013941764832,130.5,600.5,0,13894,161549,34645,2,.14310139,.30961344,.36159161,22,.62817907,.65353197,.70504719,.28478405,.3637912,1.9900857,2.5421917,.14168265,.2206898
56679,2013,April,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,16690,266976,4,130.5,30,64,.1776287853717804,130.5,600.5,0,16690,163097,41590,2,.17762879,.38406843,.37722501,22,.55918092,.58202142,.62861127,.30459231,.36453399,1.7147689,2.0522237,.12696353,.18690521
56679,2013,May,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,21238,266976,5,130.5,31,65,.2187409847974777,130.5,600.5,0,21238,116745,19688,2,.21874098,.17594659,.26130778,22,.51563656,.52483523,.55045265,.22840282,.26884934,1.0441703,1.2290763,.0096618384,.050108358
56679,2013,June,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,16665,266976,6,130.5,30,66,.1773627102375031,130.5,600.5,0,16665,77808,18060,3,.17736271,.16677749,.17996114,23,.57754076,.59047502,.62798244,.16042678,.2202116,.90451247,1.2415891,-.01693593,.042848885
56679,2013,July,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,11979,266976,7,130.5,31,67,.1233778297901154,130.5,600.5,0,11979,56016,13050,3,.12337783,.11662449,.12537938,23,.52863067,.54157412,.57070982,.12679511,.17229439,1.0276977,1.3964777,.0034172833,.048916563
56679,2013,August,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,11026,266976,8,130.5,31,68,.1135623976588249,130.5,600.5,0,11026,36118,12310,3,.1135624,.1100113,.08084213,23,.56280005,.57517707,.59731805,.091314279,.14345045,.80408901,1.2631862,-.022248119,.029888056
56679,2013,September,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,17204,266976,9,130.5,30,69,.1830991953611374,130.5,600.5,0,17204,66657,19210,4,.1830992,.17739731,.15417014,24,.52416348,.5372858,.58305377,.1464933,.19507153,.80007619,1.0653871,-.036605895,.011972338
56679,2013,October,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,28190,266976,10,130.5,31,70,.290343165397644,130.5,600.5,0,28190,120719,30936,4,.29034317,.27646706,.2702027,24,.60047269,.62239587,.66315585,.2225541,.29111224,.76652092,1.0026488,-.067789063,.00076907873
56679,2013,November,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,41139,266976,11,130.5,30,71,.4378352463245392,130.5,600.5,0,41139,194629,42299,4,.43783525,.39061579,.45015496,24,.61631227,.61832023,.63426739,.35729697,.41864946,.81605345,.95618033,-.080538273,-.019185781
56679,2013,December,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,25423,266976,12,130.5,31,72,.2618444263935089,130.5,600.5,0,25423,164081,42982,1,.26184443,.38411906,.36725891,24,.65236092,.67201763,.70734704,.28867579,.36825657,1.1024706,1.4063945,.026831359,.10641214
56679,2014,January,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,15788,178015,1,130.5,31,73,.1626086533069611,130.5,600.5,0,15788,205811,46907,1,.16260865,.41919577,.46066228,25,.66766351,.67700565,.688039,.27280515,.34756991,1.6776792,2.1374626,.1101965,.18496126
56679,2014,February,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,8832,178015,2,130.5,28,74,.1007115468382835,130.5,600.5,0,8832,117797,23158,1,.10071155,.22913106,.29191199,25,.61741573,.6282481,.64208972,.15445523,.21775883,1.5336398,2.1622033,.053743683,.11704729
56679,2014,March,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,13076,178015,3,130.5,31,75,.1346763968467712,130.5,600.5,0,13076,162153,31102,2,.1346764,.27795056,.3629435,26,.56396705,.56974453,.5780313,.21341261,.2607381,1.5846326,1.9360342,.078736216,.12606171
56679,2014,April,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,13679,178015,4,130.5,30,76,.1455832272768021,130.5,600.5,0,13679,178026,37418,2,.14558323,.34554154,.4117541,26,.55000222,.56216496,.59482783,.24726079,.29877585,1.6984154,2.0522683,.10167757,.15319262
56679,2014,May,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,11806,178015,5,130.5,31,77,.1215960085391998,130.5,600.5,0,11806,140224,27376,2,.12159601,.24465226,.31386033,26,.55270469,.56899279,.60300457,.1747871,.22834168,1.4374411,1.8778715,.053191096,.10674568
56679,2014,June,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,11411,178015,6,130.5,30,78,.1214452981948853,130.5,600.5,0,11411,91467,22215,3,.1214453,.2051474,.21155287,27,.53906757,.54845363,.56291771,.10437601,.14793169,.85944873,1.2180933,-.017069288,.026486397
56679,2014,July,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,10999,178015,7,130.5,31,79,.1132843047380447,130.5,600.5,0,10999,71205,17640,3,.1132843,.15764414,.15937659,27,.62516117,.65899003,.70536268,.050613794,.1296996,.4467856,1.1449035,-.062670514,.016415298
56679,2014,August,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,10513,178015,8,130.5,31,80,.1082787439227104,130.5,600.5,0,10513,38896,12769,3,.10827874,.11411326,.087060064,27,.51136148,.51279658,.52616739,.017377837,.051766872,.16049168,.47808897,-.090900905,-.056511872
56679,2014,September,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,11045,178015,9,130.5,30,81,.1175500229001045,130.5,600.5,0,11045,66912,16599,4,.11755002,.15328568,.15475993,28,.51462829,.53831041,.60011053,.058774013,.11160672,.49999151,.94944024,-.05877601,-.0059432983
56679,2014,October,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,15171,178015,10,130.5,31,82,.1562538594007492,130.5,600.5,0,15171,133838,29617,4,.15625386,.26467949,.29956666,28,.60736996,.63425505,.68355411,.15550756,.22915365,.99522382,1.4665471,-.00074629486,.072899789
56679,2014,November,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,29799,178015,11,130.5,30,83,.317145586013794,130.5,600.5,0,29799,204620,55434,4,.31714559,.5119127,.47326303,28,.65610027,.67824572,.71716458,.2788263,.36085585,.87917447,1.1378239,-.03831929,.043710262
56679,2014,December,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,25896,178015,12,130.5,31,84,.2667160928249359,130.5,600.5,0,25896,120624,34405,1,.26671609,.30746862,.26999006,28,.57767779,.59423727,.6491434,.13765335,.20271637,.5161044,.76004547,-.12906274,-.063999727
